f,Pxx
0.0,109538.49662925562
0.00390625,596792.3858735546
0.0078125,8157.085607529254
0.01171875,6964.524141481222
0.015625,10092.24758094824
0.01953125,6347.148056937853
0.0234375,1898.5978218465461
0.02734375,470.7524969612297
0.03125,234.73597504148495
0.03515625,164.21867297791172
0.0390625,107.60245419125299
0.04296875,68.00937995150899
0.046875,44.772007231762544
0.05078125,30.734701434462423
0.0546875,21.36870264996735
0.05859375,14.852689254874413
0.0625,10.312303839115279
0.06640625,7.1469524219278195
0.0703125,4.930500411271364
0.07421875,3.3766429504633884
0.078125,2.2915285263690555
0.08203125,1.5389629394166113
0.0859375,1.0214398758510084
0.08984375,0.6690695784180595
0.09375,0.43191555348307736
0.09765625,0.27442073840686304
0.1015625,0.17139764678465164
0.10546875,0.1051457791945977
0.109375,0.06335259166366222
0.11328125,0.03755755394284437
0.1171875,0.022025918604992343
0.12109375,0.012931245699954508
0.125,0.007766285424966122
0.12890625,0.0049238663359220105
0.1328125,0.0034004585911567003
0.13671875,0.0025893867435452483
0.140625,0.0021384276073485244
0.14453125,0.001853830578442735
0.1484375,0.0016368322522736845
0.15234375,0.0014429290668017715
0.15625,0.0012565536066965598
0.16015625,0.0010760002575524142
0.1640625,0.0009048822407019056
0.16796875,0.000747701630895238
0.171875,0.0006079290589779494
0.17578125,0.0004874209312873679
0.1796875,0.000386481896556
0.18359375,0.0003041402855816106
0.1875,0.0002385522165870658
0.19140625,0.00018741026985162027
0.1953125,0.0001482870941921807
0.19921875,0.00011884250218442615
0.203125,9.69373516140578e-05
0.20703125,8.071501585519943e-05
0.2109375,6.865225833321043e-05
0.21484375,5.956489539316678e-05
0.21875,5.256218027395825e-05
0.22265625,4.6992393127309115e-05
0.2265625,4.23984928889868e-05
0.23046875,3.847981373665706e-05
0.234375,3.504980417355872e-05
0.23828125,3.199350926404452e-05
0.2421875,2.9239350384813512e-05
0.24609375,2.6742110694146133e-05
0.25,2.447212671771257e-05
0.25390625,2.2405924550212166e-05
0.2578125,2.0521438936476022e-05
0.26171875,1.8797729315280104e-05
0.265625,1.7214964344925076e-05
0.26953125,1.5754456808980916e-05
0.2734375,1.4399103382632281e-05
0.27734375,1.313564414031364e-05
0.28125,1.1955647397919416e-05
0.28515625,1.085456065820748e-05
0.2890625,9.83024524333313e-06
0.29296875,8.882423796039176e-06
0.296875,8.012699756795435e-06
0.30078125,7.2233195766429325e-06
0.3046875,6.515390887987794e-06
0.30859375,5.887632267042839e-06
0.3125,5.336461231423903e-06
0.31640625,4.85644011564585e-06
0.3203125,4.440332920922545e-06
0.32421875,4.0791438536558764e-06
0.328125,3.7626647953930045e-06
0.33203125,3.4806639099246354e-06
0.3359375,3.2239278451318397e-06
0.33984375,2.9848487530504407e-06
0.34375,2.7576369914343213e-06
0.34765625,2.538473254881901e-06
0.3515625,2.325591628451651e-06
0.35546875,2.1190775780778135e-06
0.359375,1.9204389957751296e-06
0.36328125,1.732032862475331e-06
0.3671875,1.5564966187961661e-06
0.37109375,1.3961980141126735e-06
0.375,1.2528098308052124e-06
0.37890625,1.1270553791658056e-06
0.3828125,1.0186034327470717e-06
0.38671875,9.261024146689216e-07
0.390625,8.473390075757451e-07
0.39453125,7.795352667645016e-07
0.3984375,7.197029572330833e-07
0.40234375,6.649878544674798e-07
0.40625,6.129505511857185e-07
0.41015625,5.61772636659135e-07
0.4140625,5.103850982303722e-07
0.41796875,4.5849475617778096e-07
0.421875,4.0650530250500936e-07
0.42578125,3.5533608304944987e-07
0.4296875,3.061878628388647e-07
0.43359375,2.6030665076080637e-07
0.4375,2.1878400087157444e-07
0.44140625,1.824025169865313e-07
0.4453125,1.515272869954231e-07
0.44921875,1.260646129795248e-07
0.453125,1.055019571742428e-07
0.45703125,8.902010228671481e-08
0.4609375,7.563964702886325e-08
0.46484375,6.437043174700578e-08
0.46875,5.434915201247636e-08
0.47265625,4.4951767475439474e-08
0.4765625,3.5861870660591055e-08
0.48046875,2.7079246199646995e-08
0.484375,1.8872616323610707e-08
0.48828125,1.1692512963479952e-08
0.4921875,6.061470712781878e-09
0.49609375,2.458643571192989e-09
0.5,6.089465701248422e-10
